,Time,BPM
0,0.04986238479614258,62.240382083154245
1,0.08278965950012207,62.329550422125536
2,0.11169815063476562,62.4295096680764
3,0.144608736038208,62.51534411648847
4,0.17853450775146484,62.6186300470006
5,0.21143174171447754,62.71629952350178
6,0.2622954845428467,62.727833496008174
7,0.3321082592010498,62.620164107120296
8,0.3630819320678711,62.61805355445658
9,0.39461493492126465,62.73457308403615
10,0.4228377342224121,62.77999108910051
11,0.45216989517211914,62.79195870063702
12,0.48523807525634766,62.872783892956946
13,0.5107595920562744,63.055572322850544
14,0.5398151874542236,63.168642945389045
15,0.5706894397735596,63.27876380136622
16,0.601783037185669,63.28580893837088
17,0.6287424564361572,63.27293792038104
18,0.6616544723510742,63.268141196638915
19,0.6925804615020752,63.279268626564
20,0.7255055904388428,63.279471137503
21,0.7743611335754395,63.28538358170535
22,0.8222265243530273,63.28469058088124
23,0.8773221969604492,63.29645629192568
24,0.9292514324188232,63.09301141312163
25,0.9663093090057373,63.05740795899366
26,1.0000567436218262,63.05739215885255
27,1.033278226852417,63.051759195013815
28,1.0652098655700684,63.13412902180528
29,1.0991015434265137,63.204911873343974
30,1.1346044540405273,63.248882090935936
31,1.173499584197998,63.299420476497104
32,1.2143902778625488,63.34330201895631
33,1.2614493370056152,63.342119305310845
34,1.3073711395263672,63.365017589703086
35,1.3611843585968018,63.36036206749869
36,1.4120476245880127,63.27441887681213
37,1.4554908275604248,63.18751570705546
38,1.5113418102264404,63.11527230367772
39,1.5573954582214355,63.10817732230158
40,1.6094446182250977,63.07169308919874
41,1.6612763404846191,63.03293728879511
42,1.7112443447113037,63.04492400729445
43,1.7550249099731445,63.09955498849913
44,1.8044395446777344,63.09337379102533
45,1.8473732471466064,63.12886384103052
46,1.9012916088104248,63.13171300537525
47,1.9301493167877197,63.190299488677866
48,1.9600696563720703,63.33482832937498
49,1.9919886589050293,63.57999253689058
50,2.0474886894226074,63.527159619203395
51,2.09027361869812,63.57200141113901
52,2.140817880630493,63.579612865511656
53,2.1905548572540283,63.58550704470998
54,2.243197202682495,63.51815716802848
55,2.294811248779297,63.519187597800276
56,2.3398098945617676,63.42785714162967
57,2.389676332473755,63.32642354484046
58,2.439514636993408,63.20626553447782
59,2.486358165740967,63.140295165256035
60,2.533503532409668,63.038044365497875
61,2.581317901611328,63.045584485957946
62,2.6222083568573,63.094268249541756
63,2.65321946144104,63.17849966936872
64,2.678077220916748,63.339275755462275
65,2.732048749923706,63.345329837896514
66,2.7788543701171875,63.33292579270922
67,2.828720808029175,63.332933037491145
68,2.876866102218628,63.35019336377449
69,2.9307053089141846,63.32628737121438
70,2.9635629653930664,63.38063236100448
71,2.9934825897216797,63.50261441485891
72,3.0253987312316895,63.587662869785646
73,3.08479380607605,63.58567208577145
74,3.1367416381835938,63.52827052594287
75,3.181715965270996,63.51190097630047
76,3.210543155670166,63.64017807861395
77,3.243492364883423,63.764758715133866
78,3.2734122276306152,63.80639062260358
79,3.3053295612335205,63.79003620345952
80,3.3532824516296387,63.809555729090576
81,3.399465560913086,63.81807454322115
82,3.4464447498321533,63.86528033532632
83,3.49133038520813,63.86696744285972
84,3.544391632080078,63.8968358927739
85,3.589271068572998,63.901723998512374
86,3.644592046737671,63.87087686513917
87,3.6880102157592773,63.88942846042309
88,3.735882043838501,63.92366773574017
89,3.7889838218688965,58.084337635541935
